Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-01,2023,1,1,,"4,0",,"0,7",,"2,4",,"15,6",,"0,0",,"4,0",,"0,0",,"4,0",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-02,2023,1,2,,"3,9",,"0,3",,"2,1",,"15,9",,"0,0",,"1,4",,"0,0",T,"1,4",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-03,2023,1,3,,"4,2",,"1,0",,"2,6",,"15,4",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-04,2023,1,4,,"2,8",,"-4,1",,"-0,7",,"18,7",,"0,0",,"1,4",,"3,0",,"4,4",,0.0,T,4.0,,64.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-05,2023,1,5,,"-2,7",,"-5,0",,"-3,9",,"21,9",,"0,0",,"2,8",,"0,8",,"3,6",,2.0,,4.0,,62.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-06,2023,1,6,,"0,8",,"-4,5",,"-1,9",,"19,9",,"0,0",,"0,2",,"0,4",,"0,6",,2.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-07,2023,1,7,,"0,1",,"-8,1",,"-4,0",,"22,0",,"0,0",,"0,0",,"0,0",T,"0,0",T,2.0,,35.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-08,2023,1,8,,"-3,4",,"-9,1",,"-6,3",,"24,3",,"0,0",,"0,0",,"0,0",T,"0,0",T,2.0,E,23.0,,34.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-09,2023,1,9,,"-0,1",,"-5,0",,"-2,6",,"20,6",,"0,0",,"0,0",,"0,4",,"0,4",,2.0,E,29.0,,43.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-10,2023,1,10,,"-2,8",,"-10,9",,"-6,9",,"24,9",,"0,0",,"0,0",,"0,0",,"0,0",,,,30.0,,40.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-11,2023,1,11,,"-8,0",,"-12,8",,"-10,4",,"28,4",,"0,0",,"0,0",,"0,0",,"0,0",,2.0,,4.0,,35.0,
